1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,result,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,year
6/0,15/0,23/0,25/2,28/3,37/3,39/4,43/4,47/4,53/4,57/4,72/4,79/4,89/4,98/4,108/5,113/6,116/7,121/8,132/10,chased,10/0,15/1,29/1,40/1,45/1,58/1,61/1,79/1,84/1,92/1,100/1,109/2,118/2,123/2,127/2,136/2,136/2,136/2,136/2,136/2,2022
14/0,24/0,30/0,43/0,46/0,49/1,55/1,58/2,58/2,67/2,71/3,81/3,86/4,92/4,96/4,107/4,108/4,111/4,124/4,139/5,chased,2/0,10/0,19/0,30/0,49/0,57/1,61/1,65/1,74/1,85/1,98/1,106/2,113/2,113/2,113/2,113/2,113/2,113/2,113/2,113/2,2022
9/1,17/1,31/2,38/2,40/2,43/2,47/2,52/2,65/2,71/2,77/2,83/3,88/4,99/4,105/4,108/5,114/5,128/6,140/6,150/8,defend,1/1,10/1,21/1,24/1,35/2,54/3,64/3,68/3,78/3,81/4,88/5,89/7,91/7,97/8,105/9,106/9,117/9,124/10,124/10,124/10,2022
1/0,9/0,16/0,16/1,17/1,17/3,28/3,42/3,46/3,50/4,59/4,69/4,75/4,82/4,90/4,98/4,108/4,126/4,131/5,146/6,chased,12/0,20/0,28/0,45/0,55/1,59/1,67/1,77/1,87/1,95/1,101/2,107/2,110/4,111/4,114/4,116/4,126/5,126/5,126/5,126/5,2022
3/0,15/0,34/0,40/0,52/1,60/2,68/2,70/2,81/2,87/2,97/2,105/3,117/3,125/3,140/3,148/4,153/5,170/5,177/5,189/7,defend,11/0,17/0,18/0,28/0,36/2,47/2,55/2,57/2,67/2,67/4,73/4,75/5,89/6,97/6,112/6,116/6,124/7,131/7,136/9,140/10,2022
6/0,13/1,15/2,21/2,22/4,25/4,28/4,31/4,37/4,40/5,42/5,54/5,58/5,70/5,76/5,82/5,95/6,98/6,108/6,116/7,chased,0/1,4/2,11/2,19/2,31/2,41/2,47/2,58/2,67/3,73/4,75/4,77/5,81/5,85/5,91/5,95/5,97/6,105/6,115/6,119/6,2022
8/0,15/0,20/0,26/1,26/3,30/3,35/3,36/3,38/3,39/4,47/4,53/4,62/5,68/6,88/6,107/6,107/6,107/6,107/6,107/6,defend,2/0,6/0,6/0,12/1,17/1,27/2,29/2,34/3,40/3,42/4,43/5,47/5,50/6,59/7,75/8,81/9,81/9,81/9,81/9,81/9,2022
1/0,9/1,9/1,26/1,32/1,51/1,56/1,59/1,66/1,69/2,75/2,82/3,87/3,94/3,104/3,106/4,117/4,124/5,143/5,147/6,defend,5/0,12/1,14/1,18/3,30/3,45/3,52/3,56/3,64/3,70/3,70/4,73/4,87/4,90/4,98/4,102/5,108/6,118/6,126/6,146/6,2022
6/0,14/0,22/0,24/1,33/1,43/1,45/1,48/2,51/2,55/2,57/2,61/2,71/2,83/2,94/2,103/2,121/2,124/2,138/2,156/3,defend,5/0,15/0,21/0,22/0,31/0,43/0,48/1,51/1,60/1,64/1,66/1,75/2,79/2,83/3,99/3,101/5,108/7,113/8,118/9,120/10,2022
7/0,13/1,20/1,34/2,35/3,37/3,45/3,47/3,53/3,62/4,66/4,77/4,85/4,87/5,97/5,100/7,104/7,135/7,159/7,178/8,defend,6/0,14/0,23/0,27/1,34/1,45/1,49/1,51/1,53/2,58/2,67/3,84/3,93/3,112/4,118/4,120/5,131/6,148/6,159/7,166/10,2022
1/0,7/0,12/0,15/1,18/1,20/1,23/2,27/2,34/3,43/3,46/3,59/3,66/3,69/3,80/3,84/3,94/4,112/4,142/4,163/6,defend,7/1,10/1,22/1,25/2,27/2,33/2,33/2,47/2,51/2,54/2,61/2,79/2,87/3,96/3,105/3,108/4,114/4,130/4,148/5,156/7,2022
2/1,12/1,29/1,37/1,48/1,62/1,69/1,80/1,89/1,98/1,104/1,118/1,131/1,135/2,136/3,144/3,158/4,172/5,179/5,194/5,chased,18/0,28/0,39/0,48/0,65/0,71/0,81/0,85/1,92/3,100/3,106/3,111/3,120/3,137/3,147/3,155/4,175/4,179/4,190/4,195/4,2022
5/0,6/1,14/1,24/1,28/1,49/1,55/1,57/2,64/2,74/2,79/2,84/2,97/2,107/2,120/3,124/4,132/4,136/5,153/5,173/6,defend,6/0,11/0,27/0,31/0,32/1,47/1,54/1,62/1,66/1,69/2,74/3,85/3,90/3,98/4,100/5,113/5,119/6,128/7,134/8,136/10,2022
2/1,8/3,10/3,13/3,22/3,31/3,36/3,39/3,46/3,58/3,64/5,68/5,77/6,87/7,97/9,115/9,125/9,125/10,125/10,125/10,chased,1/1,7/1,12/1,22/2,36/2,43/2,54/2,61/2,84/2,94/2,97/3,107/4,114/4,124/4,126/5,126/5,126/5,126/5,126/5,126/5,2022
1/0,6/0,18/0,42/0,49/0,55/0,56/1,63/2,66/2,74/2,83/2,89/2,102/2,112/2,125/2,146/2,156/3,163/4,185/4,195/5,defend,2/1,6/1,15/1,22/1,29/3,36/4,45/4,51/4,60/4,63/6,67/6,70/7,77/8,82/8,89/9,96/9,99/9,108/10,108/10,108/10,2022
1/0,4/0,10/0,20/1,21/2,29/2,32/2,46/2,47/3,52/3,62/3,73/3,82/3,97/3,99/5,104/6,113/7,116/8,129/8,148/8,defend,7/0,10/0,22/1,35/1,40/2,54/2,61/3,63/4,67/4,74/4,76/5,81/7,84/7,89/7,91/8,97/8,100/9,115/10,115/10,115/10,2022
1/1,7/1,17/2,21/2,30/2,37/2,43/2,56/2,71/3,85/3,91/3,100/3,115/3,120/3,123/3,139/4,160/4,177/4,200/4,226/4,defend,7/0,19/0,28/1,33/1,50/2,62/3,71/3,78/4,83/4,95/4,102/4,112/4,115/5,117/6,126/6,135/6,149/6,162/7,177/7,189/8,2022
9/0,14/0,29/0,47/0,54/0,63/1,67/1,70/2,79/2,81/2,90/2,94/2,104/2,116/2,117/3,129/3,136/3,141/4,151/5,161/7,chased,7/1,9/1,17/1,24/1,30/1,41/1,48/1,55/1,71/1,86/1,90/2,108/2,113/2,130/2,136/2,156/2,162/2,162/2,162/2,162/2,2022
6/0,20/0,23/0,26/1,38/1,43/1,45/2,53/3,54/3,57/3,67/3,74/3,80/4,83/4,88/5,95/5,103/5,112/6,125/6,142/7,defend,7/0,20/1,26/1,33/2,41/2,50/2,52/3,60/3,62/4,68/4,73/4,79/5,83/5,86/6,89/6,93/7,104/7,111/7,111/8,133/9,2021
7/0,14/0,18/1,24/2,31/2,38/3,39/3,48/4,53/4,54/4,66/4,71/4,84/4,91/4,107/4,121/4,136/4,143/4,159/5,175/5,defend,16/0,27/1,27/2,34/2,41/2,48/2,52/3,55/3,59/3,65/3,71/4,81/4,88/4,103/4,107/5,117/5,121/6,133/7,135/7,154/7,2021
12/0,22/0,37/0,54/0,72/0,81/1,93/1,102/1,112/1,118/2,123/2,131/2,146/2,155/2,170/2,183/2,199/2,201/5,233/5,255/5,defend,15/2,28/2,38/3,47/4,56/5,66/6,73/6,86/6,100/6,105/6,110/7,113/7,116/7,118/8,120/8,122/8,135/8,135/10,135/10,135/10,2021
2/0,5/0,15/0,20/0,29/1,37/1,42/3,46/3,54/3,62/3,67/3,74/4,95/4,103/4,109/6,113/7,118/8,121/8,122/9,122/10,chased,4/1,6/1,10/2,14/2,24/3,28/3,37/3,38/4,44/4,50/4,63/4,66/4,70/4,86/4,108/4,111/4,125/4,125/4,125/4,125/4,2021
7/0,13/0,14/1,18/1,22/2,31/2,34/3,43/3,65/3,70/4,73/4,76/5,82/5,102/5,107/6,108/7,113/7,120/7,134/8,146/8,chased,1/0,9/0,15/0,21/0,29/0,42/0,45/0,53/0,64/0,72/0,80/0,90/0,112/0,114/1,117/1,121/1,126/1,140/2,147/2,147/2,2021
14/0,17/0,32/0,35/2,40/3,48/3,51/4,52/4,59/4,62/4,71/4,79/4,85/5,91/5,97/5,106/5,119/5,130/5,143/5,161/5,defend,6/0,8/1,14/2,21/2,30/3,36/4,45/4,47/4,58/4,63/4,67/4,78/4,88/4,96/4,103/6,117/6,124/7,133/7,139/7,146/9,2021
2/0,11/0,21/0,30/0,44/0,52/1,56/1,62/1,69/2,71/4,78/4,85/4,89/4,101/4,115/4,119/4,131/4,137/5,150/5,157/5,defend,8/0,11/0,18/0,22/0,29/0,35/1,41/1,46/1,53/1,55/1,57/1,66/1,71/2,83/2,96/2,101/2,108/3,123/3,144/3,152/3,2021
8/0,12/0,18/0,29/0,41/0,46/0,49/1,54/1,66/1,77/1,85/1,92/1,102/1,107/1,123/1,136/1,141/1,149/3,159/3,166/3,chased,13/0,24/0,29/0,31/0,39/0,49/0,60/0,64/0,69/1,73/2,77/3,80/3,91/3,100/3,114/3,122/3,135/3,148/3,163/4,168/4,2021
6/0,14/0,23/1,28/1,33/1,40/1,45/1,51/1,61/1,63/2,66/3,68/4,77/4,81/4,91/4,102/4,111/4,125/4,146/4,158/7,defend,4/0,14/0,21/1,28/1,40/1,45/1,48/1,51/1,54/1,54/2,55/3,64/3,69/3,77/3,80/5,97/5,104/6,106/7,120/7,131/7,2021
9/0,13/0,18/2,23/2,29/3,32/4,42/4,47/4,57/4,64/4,74/4,81/4,83/4,101/5,107/6,111/6,119/6,128/6,139/8,151/8,chased,1/0,6/0,15/0,24/1,38/1,38/2,46/2,51/3,55/3,61/3,68/3,80/3,92/3,102/3,122/3,133/3,149/4,155/4,155/4,155/4,2021
9/1,10/1,11/1,20/1,37/1,46/3,49/3,57/3,59/3,70/3,78/3,80/4,90/4,92/4,94/5,95/5,102/6,116/6,125/8,138/9,unknown,11/3,17/5,21/5,26/5,37/5,40/5,44/5,47/5,50/6,53/6,57/6,63/6,76/6,78/8,96/8,102/8,115/8,127/10,141/10,148/12,2021
8/0,24/0,34/0,41/1,44/1,47/1,54/1,59/3,62/3,65/3,76/3,84/4,91/4,97/4,112/4,126/4,134/5,138/6,155/8,166/9,chased,5/0,15/0,39/0,41/0,46/1,52/2,54/2,63/2,74/3,79/3,89/3,91/3,104/3,113/3,117/4,134/4,156/4,169/4,169/4,169/4,2021
4/0,7/2,19/2,23/2,32/2,42/2,46/2,51/2,58/2,68/2,78/2,81/3,87/3,94/3,105/3,114/3,125/3,132/5,135/6,149/7,defend,7/0,11/1,12/2,13/3,15/3,16/4,26/4,31/4,40/4,47/4,62/4,64/5,69/6,76/7,83/9,97/9,98/10,98/10,98/10,98/10,2021
2/0,10/0,17/0,26/1,31/1,40/1,48/1,55/1,64/2,69/2,76/2,86/2,91/3,100/4,117/4,131/4,139/5,148/6,154/8,160/8,chased,1/0,13/0,16/0,30/0,39/1,49/1,53/1,55/1,63/1,65/1,78/1,83/1,88/2,95/3,98/5,105/6,126/6,133/7,151/7,163/8,2021
9/0,23/0,34/0,43/0,58/0,71/0,74/0,83/1,87/1,95/1,104/2,108/2,123/2,134/2,153/2,160/2,178/2,185/2,203/2,224/2,defend,2/1,10/1,22/2,22/2,28/2,45/2,60/2,78/2,82/2,90/3,97/3,100/4,109/4,113/4,117/5,120/8,124/9,124/9,124/9,124/9,2021
2/0,15/0,23/0,26/0,28/3,35/3,43/3,47/3,51/3,61/3,62/4,71/4,79/4,81/5,91/5,95/5,111/5,114/7,118/8,130/10,chased,12/0,16/0,26/0,46/0,58/0,71/0,79/0,88/0,102/0,103/0,103/1,112/1,124/1,130/1,136/1,136/1,136/1,136/1,136/1,136/1,2021
8/1,13/1,25/1,27/2,35/3,42/3,46/3,51/3,58/4,65/5,68/5,74/5,76/6,78/7,80/7,83/8,95/8,102/8,115/9,118/10,chased,2/1,10/1,17/1,22/1,36/2,43/2,50/2,57/3,64/3,69/3,78/3,81/3,86/3,99/3,113/4,121/4,121/4,121/4,121/4,121/4,2021
0/1,4/1,7/1,8/3,12/4,15/5,18/5,21/5,28/5,34/5,42/5,54/5,62/5,82/5,87/5,96/5,106/6,111/6,125/6,144/7,chased,6/0,11/1,18/1,25/1,32/1,41/1,44/1,48/1,57/1,67/1,80/1,88/1,109/1,113/2,122/3,125/3,142/3,145/3,145/3,145/3,2021
3/0,6/0,18/0,22/0,32/0,36/0,43/0,47/1,55/1,59/1,65/1,74/1,84/2,86/3,93/3,97/3,104/3,118/4,139/4,167/4,defend,3/0,4/1,8/1,9/3,13/3,28/4,31/4,39/4,41/4,49/4,60/5,63/6,75/7,75/7,77/7,78/8,85/8,90/9,92/10,92/10,2021
5/0,16/0,26/0,42/1,62/1,67/1,83/1,87/2,88/3,91/3,99/3,102/3,117/3,127/3,134/3,143/4,148/4,170/5,182/6,185/8,defend,6/1,14/1,22/1,29/2,35/3,39/3,50/3,59/3,66/4,80/5,84/6,93/7,107/8,118/8,124/8,128/8,136/9,140/10,140/10,140/10,2021
13/0,18/0,23/0,32/0,37/0,40/1,55/1,58/2,64/2,74/2,92/2,94/2,109/3,111/4,124/4,133/4,157/4,162/5,166/7,169/8,defend,6/0,7/1,21/1,28/1,29/2,34/2,39/2,42/2,50/2,56/2,68/2,75/2,79/3,91/3,98/5,108/5,121/5,131/6,139/7,147/8,2021
5/1,7/2,15/2,17/3,19/3,32/3,44/3,48/3,52/4,56/4,59/4,71/4,80/4,83/4,94/4,103/5,114/5,126/6,143/6,151/6,defend,3/0,13/0,17/0,29/0,29/1,38/2,43/3,49/3,63/3,72/3,79/3,89/3,94/3,100/3,107/3,112/3,117/3,122/4,125/6,134/6,2021
9/0,18/0,25/1,26/1,27/2,36/2,41/2,43/3,46/4,49/4,52/4,58/5,59/7,62/7,64/7,66/7,75/7,87/8,88/8,93/9,chased,5/1,14/1,23/2,24/2,30/2,34/2,38/2,42/2,48/2,58/2,61/3,65/3,76/3,83/3,85/4,86/4,99/4,99/4,99/4,99/4,2021
16/0,31/0,52/0,61/1,68/1,78/1,84/1,93/2,97/2,113/2,116/2,123/2,133/2,137/3,147/4,162/4,169/5,178/6,186/8,211/10,defend,15/0,24/1,38/2,59/2,71/2,79/2,88/2,103/2,104/4,117/4,121/4,123/5,132/5,136/7,145/7,148/9,156/9,156/9,156/10,156/10,2021
2/1,8/1,15/2,18/2,23/2,37/3,45/3,56/3,63/3,70/3,78/3,85/4,96/4,99/4,110/4,119/4,135/5,148/5,159/5,175/6,defend,1/0,8/0,16/1,28/1,40/1,56/1,65/1,72/1,73/4,78/4,80/5,84/5,106/5,109/6,115/6,124/7,132/7,148/7,155/8,155/8,2021
12/0,14/0,24/1,38/1,40/2,46/2,54/2,59/2,63/3,81/3,85/3,96/3,108/3,117/3,121/4,125/4,134/5,139/6,155/6,169/6,defend,4/0,9/0,22/1,25/1,35/1,41/1,52/1,62/1,64/3,73/3,79/3,86/3,94/3,98/4,98/5,101/7,114/7,115/9,123/9,123/10,2021
12/0,14/0,16/1,22/1,25/2,28/2,33/2,43/2,61/2,70/2,74/3,80/3,84/3,98/3,110/5,124/5,126/6,140/6,151/7,159/7,chased,5/0,16/0,26/0,28/0,45/0,67/1,70/1,90/2,108/2,109/2,111/2,113/2,129/2,150/2,160/2,160/2,160/2,160/2,160/2,160/2,2021
8/0,13/0,28/0,29/0,43/0,54/0,62/1,65/1,69/1,81/1,94/1,98/2,110/2,123/2,135/2,139/2,152/2,160/4,176/4,190/6,chased,6/0,15/0,28/0,36/0,37/0,37/2,41/2,60/2,73/2,76/2,91/2,109/2,120/2,136/2,142/2,154/2,165/2,172/2,191/2,191/2,2021
14/0,17/1,26/2,32/2,36/3,38/3,42/3,46/4,47/4,65/5,70/5,75/7,77/7,94/7,103/7,115/7,125/7,142/7,142/7,142/7,defend,4/0,4/2,6/2,16/2,21/2,33/3,39/4,42/6,42/6,48/6,60/6,68/7,79/8,83/8,96/9,111/9,128/9,128/10,128/10,128/10,2021
13/0,18/1,29/1,34/1,48/1,51/1,55/1,60/1,62/2,70/2,74/2,82/2,91/2,103/3,111/3,116/3,131/3,134/5,139/7,147/7,chased,7/0,12/0,14/0,28/0,32/0,34/1,36/1,49/1,52/2,65/3,74/3,97/3,102/4,111/4,117/5,123/5,132/5,135/6,150/6,150/6,2021
5/1,21/1,35/1,41/1,55/1,58/1,73/1,79/2,84/2,97/2,107/2,123/2,127/2,128/3,133/4,135/4,150/4,171/4,190/4,205/4,defend,6/1,25/1,30/1,45/1,57/1,66/1,71/1,80/3,95/3,99/3,112/3,119/3,122/4,127/4,149/4,159/5,167/5,173/6,184/8,184/10,2021
10/0,19/0,29/0,33/1,39/1,55/1,59/1,62/2,70/2,88/2,93/3,96/4,104/5,108/5,125/5,131/7,133/8,141/8,153/9,178/9,chased,3/0,10/0,19/0,42/0,60/0,68/0,76/0,77/1,85/1,104/1,111/1,119/1,128/1,138/1,151/1,164/3,174/3,181/3,181/3,181/3,2021
12/0,20/0,25/1,32/1,46/2,46/2,57/2,64/2,65/2,76/2,80/3,81/4,85/4,100/4,102/5,107/5,121/5,128/6,147/6,159/7,chased,2/1,9/1,19/1,26/2,30/2,40/2,50/2,58/2,67/2,71/3,79/4,84/4,90/4,95/5,105/5,118/5,129/5,139/5,151/7,160/7,2021
3/1,10/1,22/1,25/2,32/2,37/2,48/2,60/2,70/2,77/3,85/3,89/3,105/3,117/4,122/5,129/5,144/5,144/5,144/5,144/5,chased,4/0,7/0,9/0,22/0,30/1,45/1,58/2,64/2,81/2,96/2,101/3,107/3,116/3,122/3,131/4,140/5,147/6,147/6,147/6,147/6,2020
5/0,8/2,9/3,14/3,30/3,51/3,69/3,71/5,79/5,86/6,95/6,101/6,106/7,113/7,123/8,128/8,131/9,135/9,144/9,153/9,defend,10/0,17/0,18/0,23/0,30/1,33/1,40/2,50/2,59/2,73/2,80/2,87/2,91/3,99/3,109/3,115/3,123/3,126/5,134/5,147/5,2020
8/0,15/1,23/1,40/2,42/2,52/2,63/2,70/3,78/3,86/3,89/3,98/3,106/3,115/3,119/4,125/4,136/5,146/5,150/6,158/7,chased,3/0,5/0,6/1,12/1,25/2,36/2,54/2,65/2,73/2,82/3,84/4,91/4,101/4,109/4,114/4,126/4,133/5,149/5,160/5,160/5,2020
3/0,6/0,17/0,27/1,45/1,54/2,57/3,59/3,70/3,76/3,81/4,83/5,88/5,94/5,100/5,104/5,113/6,116/7,123/7,127/8,chased,10/0,12/0,12/1,22/1,39/1,45/1,56/1,59/2,65/2,74/2,80/2,91/2,96/3,100/4,110/4,120/6,131/7,131/7,131/7,131/7,2020
7/0,24/0,27/0,37/1,47/1,53/2,55/2,63/2,65/3,77/3,91/3,98/4,103/4,107/6,110/7,114/7,125/7,130/7,131/7,131/7,chased,13/0,20/1,29/2,46/3,50/3,50/3,50/3,50/3,50/3,50/3,50/3,50/3,50/3,50/3,50/3,50/3,50/3,50/3,50/3,50/3,2020
10/1,18/2,21/3,29/3,40/3,46/3,55/3,58/4,59/4,63/4,63/5,71/5,88/5,90/5,99/5,104/6,114/6,118/6,127/7,135/8,chased,0/1,1/1,10/1,14/1,28/1,38/1,44/1,60/1,64/1,65/1,76/2,82/2,89/2,92/2,102/2,106/3,127/3,134/3,136/3,136/3,2020
8/0,16/0,31/0,42/0,55/0,64/0,73/0,73/1,83/1,91/1,101/1,103/2,110/2,118/3,123/5,127/5,137/5,140/6,156/6,172/6,defend,1/0,22/0,28/1,40/1,41/2,52/2,54/3,60/3,65/3,78/3,82/4,89/4,95/4,103/5,110/5,117/7,129/7,136/8,145/8,162/8,2020
4/0,28/0,37/0,44/0,55/0,57/2,62/3,68/4,70/4,75/4,76/5,85/5,88/5,92/6,94/7,99/8,102/8,107/8,118/9,118/10,defend,4/1,4/1,4/2,8/3,14/3,16/3,21/3,26/3,33/3,36/4,41/4,41/4,49/5,50/5,52/6,59/7,70/7,87/7,97/7,104/7,2020
1/0,2/0,9/0,15/0,27/1,45/1,47/1,54/1,58/1,65/2,69/2,76/2,87/3,99/3,108/3,116/3,135/3,155/3,172/3,185/3,defend,9/0,17/0,37/0,41/0,56/0,59/0,64/0,68/1,72/1,75/2,82/3,89/3,97/3,99/3,110/4,120/5,125/5,132/5,151/5,166/6,2020
7/0,16/0,20/2,27/2,37/2,41/3,44/4,49/4,61/4,67/4,74/4,80/4,84/4,97/4,102/5,111/5,113/5,123/5,135/5,144/7,defend,1/0,5/2,6/2,6/2,9/3,19/3,27/3,32/3,44/3,59/3,62/4,69/4,81/4,92/4,97/4,106/4,115/4,124/5,132/6,134/8,2020
6/0,8/0,15/0,24/0,32/0,39/0,49/0,52/1,57/1,59/2,70/2,75/2,81/4,90/4,93/4,105/4,126/4,136/5,145/6,151/7,chased,6/0,15/0,25/0,34/0,41/1,41/2,49/2,51/2,71/2,74/2,78/2,81/2,95/2,99/2,106/2,116/2,121/3,130/3,139/4,152/4,2020
6/1,11/2,16/2,16/2,18/3,30/3,35/3,45/3,50/3,53/3,56/4,60/5,62/6,63/6,67/7,71/7,83/7,89/7,99/8,108/9,chased,6/0,10/1,17/1,21/1,30/1,40/2,46/2,51/3,53/4,58/4,64/5,67/5,72/5,74/5,77/5,89/5,97/5,113/5,113/5,113/5,2020
7/0,17/0,32/1,33/2,39/2,43/3,44/3,48/3,52/3,58/3,73/4,82/4,86/4,93/4,106/5,109/5,111/5,111/6,111/6,111/6,chased,10/1,21/1,28/3,37/4,42/4,50/4,60/4,72/4,72/4,72/4,72/4,72/4,72/4,72/4,72/4,72/4,72/4,72/4,72/4,72/4,2020
7/0,14/1,18/1,20/2,29/2,37/2,47/2,64/2,76/2,79/2,83/3,84/4,88/5,92/6,94/6,102/6,110/6,139/6,143/7,148/7,defend,0/1,13/2,14/2,17/2,22/3,26/3,27/4,31/4,33/4,36/4,48/4,58/4,66/5,68/6,69/6,80/6,97/7,105/7,107/9,112/9,2020
1/2,5/2,11/4,14/4,18/4,22/4,26/4,36/4,39/5,43/5,46/5,51/5,59/5,62/6,66/6,69/6,73/7,87/7,100/8,110/9,chased,20/0,24/0,30/2,31/2,36/2,47/2,52/3,61/3,68/3,79/3,87/3,89/3,99/4,100/4,111/4,111/4,111/4,111/4,111/4,111/4,2020
6/0,10/1,15/3,20/3,23/3,39/3,42/3,44/4,47/4,51/4,53/4,57/4,58/5,64/5,73/5,77/6,87/6,98/6,107/7,112/7,chased,3/0,6/0,16/0,27/0,32/0,34/2,35/2,38/2,46/2,51/2,54/3,61/3,65/3,78/3,80/3,86/3,96/3,107/3,115/3,115/3,2020
3/0,10/0,17/0,26/1,28/1,37/1,39/1,43/1,54/1,59/1,68/1,77/2,84/2,92/2,97/3,105/3,116/5,128/6,138/7,148/7,chased,6/0,6/2,9/2,14/2,27/2,27/3,31/3,36/4,41/4,48/4,50/4,59/4,69/5,77/5,79/6,83/6,108/6,118/7,134/7,149/8,2020
3/0,9/0,16/0,18/0,27/0,28/1,35/1,39/1,46/1,53/1,64/1,69/2,79/2,79/2,91/2,97/3,117/3,126/5,132/6,147/6,defend,11/1,13/1,21/1,26/1,33/1,39/1,42/1,45/2,45/3,47/4,53/5,60/5,64/5,74/5,87/6,89/7,91/8,99/9,108/9,110/10,2020
6/1,13/2,15/2,23/2,30/2,35/2,43/3,49/3,52/4,58/4,59/5,64/5,73/6,77/6,80/7,83/7,88/9,92/10,92/10,92/10,defend,3/0,9/0,18/0,23/0,28/0,34/1,37/2,39/2,48/2,52/3,55/3,58/3,63/3,67/4,71/4,74/4,77/4,80/5,84/6,89/7,2020
7/1,9/1,20/1,22/2,30/2,33/2,41/2,44/2,47/2,52/3,60/3,63/3,69/3,85/3,97/3,104/3,118/3,126/4,138/5,150/5,chased,5/0,14/0,20/0,20/0,23/1,26/3,28/3,40/3,50/3,59/3,77/3,87/3,99/3,105/3,111/3,122/3,135/3,153/3,153/3,153/3,2020
17/0,20/0,32/1,33/1,40/1,49/1,58/1,61/1,75/1,83/2,91/2,93/2,98/2,105/2,113/3,124/3,142/3,154/3,169/3,184/4,defend,8/1,15/2,19/2,27/2,29/2,35/2,44/2,56/2,66/2,70/2,78/3,84/3,85/4,97/5,98/6,105/6,117/6,139/6,147/6,165/6,2020
1/1,2/2,4/3,9/4,10/4,14/4,14/4,17/4,19/4,22/6,25/6,27/8,40/8,44/8,56/8,62/8,74/8,79/9,86/9,92/10,chased,0/0,7/0,8/0,9/0,20/1,31/1,36/2,39/2,44/2,52/2,62/2,66/2,72/2,78/2,84/2,87/2,93/2,93/2,93/2,93/2,2020
6/0,15/0,21/1,29/2,40/2,52/2,54/2,57/2,64/2,68/2,75/2,83/2,93/2,108/2,125/2,141/2,145/2,159/2,162/3,174/5,defend,6/0,8/1,11/1,13/1,16/1,34/1,38/1,45/1,48/1,56/1,56/1,61/1,67/2,79/3,85/4,92/4,94/6,98/7,106/7,115/7,2020
8/0,15/1,15/2,15/2,23/2,27/3,29/3,33/3,38/3,47/3,55/3,57/4,59/6,63/6,65/6,72/6,77/7,89/7,100/7,109/7,chased,5/0,16/0,23/1,29/1,35/1,38/1,46/1,55/1,58/2,82/2,85/2,94/2,103/3,110/3,110/3,110/3,110/3,110/3,110/3,110/3,2020
10/0,13/0,19/0,23/0,40/0,46/0,46/0,46/0,46/0,46/0,46/0,46/0,46/0,46/0,46/0,46/0,46/0,46/0,46/0,46/0,unknown,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2020
5/0,10/0,18/2,24/2,26/2,28/3,30/4,36/4,37/5,39/5,39/6,47/6,48/6,56/6,65/6,69/7,75/7,78/8,84/8,89/9,chased,2/1,6/1,19/1,34/1,35/2,40/2,40/3,50/4,62/4,67/4,70/4,75/4,78/4,88/4,90/4,90/4,90/4,90/4,90/4,90/4,2020
3/0,6/0,12/1,25/1,36/1,47/1,55/2,65/2,70/2,74/2,85/2,88/2,94/3,95/3,108/3,121/3,132/3,148/3,164/4,175/5,defend,2/0,4/0,8/0,13/0,23/0,26/1,39/1,45/1,55/1,68/1,77/1,86/2,95/2,104/3,111/3,121/4,131/5,139/5,143/5,152/7,2020
2/0,7/0,12/0,22/0,33/0,44/0,49/0,54/1,59/1,69/1,71/1,82/1,90/2,96/2,112/2,120/2,133/3,144/3,153/3,161/4,chased,17/1,19/2,26/2,50/2,54/2,61/2,66/2,77/2,86/2,88/2,91/2,103/2,108/3,121/3,131/3,134/3,145/3,154/3,165/3,165/3,2020
3/0,6/0,13/1,14/1,23/1,27/2,31/3,32/4,33/5,36/5,48/5,52/5,62/6,63/6,65/6,69/8,75/9,76/9,77/10,77/10,chased,10/0,15/0,17/0,27/0,31/0,42/0,45/0,54/0,59/1,63/1,69/1,78/1,78/1,78/1,78/1,78/1,78/1,78/1,78/1,78/1,2020
8/0,13/0,17/0,25/1,26/1,35/1,42/2,53/3,58/3,66/4,67/4,80/4,80/4,88/4,100/4,118/4,122/4,125/5,134/6,145/6,defend,10/0,12/0,17/0,29/0,33/0,46/0,52/0,55/0,65/0,72/0,78/0,84/1,87/2,93/4,96/4,103/5,107/7,122/7,129/9,134/9,2020
0/1,5/2,10/3,21/3,25/4,28/4,37/4,42/4,52/4,55/4,60/4,65/5,68/5,68/6,73/6,78/6,82/6,92/7,97/7,107/7,chased,10/0,14/1,23/1,30/1,35/1,42/1,50/1,52/1,61/1,61/1,76/1,80/1,90/1,97/1,111/1,111/1,111/1,111/1,111/1,111/1,2020
2/2,2/2,12/2,15/3,18/3,21/3,24/4,27/4,33/5,42/5,45/5,53/6,55/8,55/10,55/10,55/10,55/10,55/10,55/10,55/10,chased,13/0,26/0,42/0,53/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,56/0,2020
